cliente_id,nombre,email,telefono,edad,genero,ciudad,categoria_producto,monto_compra,salario_mensual,score_satisfaccion,metodo_pago,fecha_registro,fecha_ultima_compra,estado_cliente,num_compras,region
1,Sergio Gómez,usuario1@empresa.co,,22,F,CALI,Tecnología,47123.36,3348625.06,9.5,Tarjeta Débito,2020-03-04,06-01-2023,Pendiente,16.0,Oriente
2,Carlos González,usuario2@hotmail.com,,35,Femenino,  Cartagena  ,Ropa,41641.38,2807157.91,6.6,PSE,17/01/2022,28/06/2020,Cancelado,23.0,
3,Juan Gómez,usuario3gmail.com,3012512204,31,Femenino,Cali,ROPA,133145.84,3586614.16,7.9,Tarjeta Crédito,01-11-2020,30-06-2024,Inactivo,34.0,Sur
4,Paola López,usuario4@outlook.com,3153714180,64,M,Bucaramanga,Electrónica,357533.52,2657708.2,,Nequi,2022-03-10,19-01-2023,Pendiente,29.0,Sur
5,Sandra González,,3158003954,54,Male,Bogotá,Alimentos,5327.67,3991891.3,2.2,Efectivo,22/05/2023,09-19-2022,Inactivo,33.0,Sur
6,Sergio López,usuario6@hotmail.com,3014718745,33,F,Manizales,Alimentos,264243.24,3130730.16,-1.0,Nequi,2023/01/26,23-09-2024,Activo,43.0,Oriente
7,Jorge Gómez,usuario7@yahoo.com,3015983987,69,f,CALI,Alimentos,,3419605.98,5.1,Tarjeta Crédito,05-24-2021,15/06/2023,pendiente,10.0,Centro
8,Natalia López,usuario8@hotmail.com,3207022967,24,,Santa Marta,alimentos,320785.08,2983715.22,3.1,efectivo,2022-12-14,09 Oct 2023,activo,19.0,Oriente
9,Jorge Ramírez,usuario9@gmail.com,3019450043,45,F,CALI,Deportes,,5361136.2,7.2,PSE,2024/01/10,2020/06/12,Inactivo,10.0,Centro
10,Diana Pérez,usuario10@outlook.com,3016110677,44,F,Bucaramanga,Tecnología,297774.54,2649507.27,9.3,efectivo,2020/01/01,19/05/2023,Activo,37.0,Sur
11,María Gómez,usuario11@gmail.com,3155697820,64,,Barranquilla,Alimentos,96181.96,2134001.88,7.0,Nequi,31-03-2022,2023-03-31,Activo,42.0,Centro
12,,usuario12@yahoo.com,3126379268,desconocido,Femenino,Manizales,Ropa,460215.27,4831918.31,9.1,pse,16 Apr 2020,03-08-2020,Pendiente,5.0,
13,Ana García,usuario13@gmail.com,3013537599,24,M,Barranquilla,alimentos,223447.52,2533049.35,1.4,Tarjeta Crédito,16-06-2024,16-01-2021,Activo,36.0,
14,Paola González,usuario14@empresa.co,3018934503,desconocido,M,medellin,HOGAR,52850.72,2299211.36,3.6,PSE,11-11-2024,2020/06/26,activo,41.0,Oriente
15,Sandra Pérez,usuario15@empresa.co,3104030470,73,F,CALI,Tecnología,208345.78,3598434.46,,tarjeta débito,2022/09/19,02/06/2023,Pendiente,21.0,Sur
16,Carlos Torres,usuario16@gmail.com,3118417179,30,M,BOGOTA,Alimentos,283877.06,-1000.0,3.0,Efectivo,21/08/2020,25-12-2021,ACTIVO,36.0,Occidente
17,Juan Pérez,usuario17@outlook.com,,46,f,Barranquilla,alimentos,397317.94,4086855.71,1.9,Tarjeta Débito,,2024/05/03,activo,50.0,Centro
18,Sandra Martínez,usuario18@hotmail.com,3105048415,29,Male,Bucaramanga,alimentos,949199.54,4584960.98,6.6,TARJETA CREDITO,07-09-2021,22 Aug 2023,pendiente,7.0,Occidente
19,Paola Gómez,usuario19@yahoo.com,3005809541,33,,Bogotá,Ropa,9979.4,6150188.71,2.6,pse,25-11-2022,,Pendiente,39.0,
20,Carlos García,usuario20@yahoo.com,3107787866,22,Female,CALI,Electrónica,1826626.5,3044895.26,9.0,,2020-09-07,27-02-2022,Activo,30.0,Oriente
21,Jorge Sánchez,usuario21@gmail.com,3006416616,73,Female,  Cartagena  ,electronica,326775.82,4581909.99,5.4,Tarjeta Débito,2024-11-04,29/03/2024,ACTIVO,13.0,Sur
22,María Torres,usuario22@empresa.co,3127094446,24,F,Cali,Electrónica,32111.24,2842680.31,2.3,Efectivo,12 Aug 2023,22-01-2022,pendiente,31.0,Centro
23,Natalia González,usuario23@yahoo.com,3109391443,N/A,F,CALI,Tecnología,266645.59,3082505.81,4.5,Efectivo,2022/01/19,2024/03/17,Pendiente,23.0,Sur
24,Pedro Sánchez,usuario24@yahoo.com,3122647239,23,m,Bogotá,Ropa,443630.7,3785915.69,3.0,efectivo,09-10-2022,2021-09-02,activo,40.0,Occidente
25,Pedro Ramírez,usuario25@yahoo.com,3209882026,72,m,Pereira,Tecnología,143193.67,1374461.35,2.5,pse,2024-12-24,2023/02/26,pendiente,35.0,Sur
26,Miguel Pérez,usuario26@yahoo.com,3004686482,44,Femenino,Manizales,HOGAR,151133.55,2672545.9,3.6,Tarjeta Débito,31 May 2020,20-11-2023,Activo,9.0,Norte
27,Diana Rodríguez,usuario27@hotmail.com,3118704462,31,m,medellin,Hogar,266113.93,2125744.46,4.4,Efectivo,09-11-2023,01-03-2022,Pendiente,9.0,Oriente
28,Ana Gómez,usuario28@gmail.com,3105588662,75,,medellin,Alimentos,18801.17,,3.9,,2023-08-17,29-01-2020,pendiente,36.0,Sur
29,Andrés Sánchez,usuario29@gmail.com,3126862340,999,Masculino,BOGOTA,electronica,657185.55,2611103.18,6.3,PSE,24-05-2021,06/06/2022,inactivo,,Oriente
30,Carlos Torres,usuario30@gmail.com,3126609836,,m,Cali,electronica,,5521756.54,8.6,efectivo,09 Mar 2020,09 Aug 2021,inactivo,6.0,Centro
31,Luis Flores,usuario31@yahoo.com,3122760200,68,Female,barranquilla,Ropa,18085.64,3211354.85,2.8,tarjeta débito,,06-18-2024,Pendiente,14.0,Oriente
32,Natalia Martínez,usuario32@gmail.com,3202179009,36,,Barranquilla,Alimentos,117401.53,2886788.63,7.2,Nequi,01/07/2020,2023-08-24,Inactivo,41.0,Centro
33,,usuario33@yahoo.com,3009940779,64,m,BOGOTA,Ropa,,4812892.23,2.8,Nequi,31 Jul 2024,2021/08/12,activo,19.0,Sur
34,Juan Pérez,usuario34@yahoo.com,3012375428,53,F,Santa Marta,Hogar,,,3.7,Tarjeta Crédito,2020-10-20,02 Aug 2022,Activo,25.0,
35,Andrés Rivera,usuario35@gmail.com,3008160223,49,f,CALI,Tecnología,90291.77,1671967.26,8.5,pse,05-06-2020,28-04-2024,Cancelado,36.0,Sur
36,Miguel Rivera,usuario36@outlook.com,3208590674,36,MASCULINO,Cali,HOGAR,670853.66,3139072.33,8.6,Tarjeta Crédito,13/05/2023,2023/08/11,Activo,42.0,Oriente
37,Pedro Rivera,usuario37@hotmail.com,3102534857,21,F,  Cartagena  ,Hogar,53282.49,2611320.38,6.4,Nequi,2023-12-17,15/12/2022,Inactivo,37.0,Sur
38,María Gómez,usuario38@empresa.co,3128643524,52,Femenino,Manizales,Electrónica,52230.41,2931507.26,1.1,TARJETA CREDITO,2020-12-28,05-21-2024,pendiente,15.0,Sur
39,Sergio Pérez,usuario39@empresa.co,3152676111,150,f,Santa Marta,HOGAR,592071.27,2886347.01,8.2,,2021/08/23,20 Dec 2023,inactivo,3.0,Centro
40,Luis Martínez,usuario40@yahoo.com,3019679086,N/A,m,Medellín,Hogar,266331.08,5540037.08,,efectivo,01-12-2023,17/12/2023,Cancelado,14.0,Oriente
41,María Martínez,usuario41@empresa.co,3014665631,72,MASCULINO,Cartagena,Hogar,496698.94,4290153.29,7.1,Efectivo,26-11-2021,,ACTIVO,50.0,
42,Luis Ramírez,usuario42@yahoo.com,3018332793,21,MASCULINO,Pereira,deportes,233539.56,5118938.75,7.2,tarjeta débito,12-09-2024,28-10-2021,ACTIVO,3.0,Occidente
43,,usuario43@outlook.com,3203370407,23,Femenino,Cúcuta,Hogar,1105845.13,1213929.22,,Tarjeta Crédito,07-12-2021,09 Feb 2024,ACTIVO,49.0,
44,Andrés Flores,usuario44@hotmail.com,3001028566,22,Female,Pereira,Hogar,361866.58,5338593.96,3.8,Nequi,09/09/2022,05-09-2021,activo,16.0,Occidente
45,Carlos Gómez,usuario45@hotmail.com,3115755210,61,M,CALI,Deportes,288457.29,2536223.61,5.0,Tarjeta Crédito,2020-06-20,18-09-2023,pendiente,16.0,
46,Luis González,usuario46@empresa.co,3209039184,43,FEMENINO,Manizales,ROPA,281370.75,2830609.95,7.3,efectivo,04 Jan 2021,19/07/2023,inactivo,49.0,
47,Ana López,usuario47@empresa.co,N/A,74,Femenino,Pereira,Alimentos,134573.17,5600432.51,4.8,pse,2020-11-28,2021/09/03,pendiente,35.0,Sur
48,Pedro Martínez,usuario48@yahoo.com,3125894181,55,Male,Manizales,Alimentos,64307.19,4686679.78,2.4,Efectivo,2024-07-09,,activo,13.0,Sur
49,Natalia Pérez,usuario49@empresa.co,,57,FEMENINO,Medellín,ROPA,391503.89,3661788.95,7.7,Nequi,20/12/2023,2021/09/17,Inactivo,44.0,Occidente
50,,usuario50@gmail.com,3201890425,60,f,Cartagena,Deportes,575870.48,2807437.29,3.4,TARJETA CREDITO,18-01-2020,09 Oct 2023,activo,21.0,Occidente
51,Laura González,,,51,MASCULINO,Cúcuta,Alimentos,384644.28,99999999.0,5.5,efectivo,03-28-2023,2020-10-27,ACTIVO,32.0,Centro
52,Paola López,,3117888373,34,f,Santa Marta,Deportes,151809.05,4474869.88,2.5,tarjeta débito,05-08-2020,01/10/2023,pendiente,30.0,Sur
53,Luis Rivera,usuario53@hotmail.com,3152296344,63,,Barranquilla,Electrónica,343271.58,4299332.57,6.1,Tarjeta Débito,20-04-2021,06-29-2024,Inactivo,10.0,Occidente
54,Ana González,usuario54@yahoo.com,3015162905,34,MASCULINO,Santa Marta,Electrónica,153229.86,5724272.73,,Tarjeta Crédito,08-01-2020,12 May 2021,Inactivo,19.0,Oriente
55,Paola Rivera,usuario55@empresa.co,3113611476,60,F,Pereira,Ropa,581923.53,3522520.44,100.0,Tarjeta Crédito,10/11/2023,2022-01-18,Pendiente,37.0,Oriente
56,Natalia López,usuario56@hotmail.com,3015041651,47,Female,Cartagena,alimentos,,1918694.65,1.8,pse,2021-08-14,,inactivo,30.0,Occidente
57,Laura Martínez,usuario57yahoo.com,3017458788,66,F,Santa Marta,Deportes,110210.07,3166605.88,2.2,tarjeta débito,,10-29-2020,Activo,40.0,
58,Paola González,usuario58@hotmail.com,3116863572,18,F,Santa Marta,Alimentos,158032.43,2215346.58,6.2,Tarjeta Débito,29 Apr 2020,16/07/2020,pendiente,10.0,
59,María García,usuario59@yahoo.com,3156216033,54,Masculino,barranquilla,electronica,,3168458.93,2.4,pse,2024/01/17,14 Jun 2024,pendiente,13.0,Centro
60,Laura Rivera,usuario60@gmail.com,3103408334,22,Female,CALI,deportes,93553.3,2561467.55,1.6,pse,2021/06/16,23 Mar 2024,Activo,37.0,Occidente
61,Luis Torres,usuario61@yahoo.com,,50,m,Manizales,Ropa,25530.6,3480115.8,9.6,Nequi,08 Nov 2023,2022/09/15,Pendiente,18.0,Norte
62,Sergio García,usuario62@empresa.co,3129791997,40,,Santa Marta,Deportes,186163.62,,3.0,PSE,12-10-2021,2022/09/20,Inactivo,24.0,Norte
63,Sergio Gómez,usuario63@outlook.com,3114562924,74,,medellin,Deportes,107899.42,1543527.22,3.9,efectivo,17 May 2024,2020/01/08,ACTIVO,22.0,Norte
64,Paola Rodríguez,,3112469445,36,Female,barranquilla,alimentos,16545.74,1939127.04,7.3,,10-05-2021,15 Nov 2022,Activo,6.0,Sur
65,Juan Martínez,,3151955367,71,M,BOGOTA,Hogar,105381.1,271982.94,4.9,tarjeta débito,07-07-2023,2024/09/05,Cancelado,19.0,Centro
66,Juan Gómez,usuario66@outlook.com,3113778833,37,m,Santa Marta,HOGAR,148498.91,1433533.5,7.5,,2021/01/02,18/12/2021,Cancelado,1.0,Sur
67,Luis González,usuario67@empresa.co,3017114465,69,M,BOGOTA,Hogar,74758.73,4518620.91,4.7,Efectivo,2021-08-15,30 Jul 2021,inactivo,,
68,Pedro Ramírez,,3011667603,18,F,BOGOTA,Hogar,228609.35,4245216.77,7.5,PSE,12-04-2020,26-03-2022,activo,32.0,Oriente
69,Carlos Sánchez,usuario69@outlook.com,3157791323,53,Masculino,Manizales,Hogar,298987.65,,9.6,efectivo,17 Jul 2020,2020-12-28,pendiente,15.0,Norte
70,Andrés Rivera,usuario70@gmail.com,3113236952,60,FEMENINO,medellin,ROPA,121281.81,3377928.06,,TARJETA CREDITO,2024-02-16,,Activo,10.0,Oriente
71,Pedro Martínez,usuario71@outlook.com,3009168597,74,Masculino,CALI,alimentos,196016.97,857154.24,4.0,efectivo,24-11-2023,08-03-2020,pendiente,,Occidente
72,,usuario72@gmail.com,,25,m,CALI,Electrónica,184195.37,1742683.57,5.6,Tarjeta Crédito,20 Jun 2022,2022/04/01,Inactivo,9.0,Sur
73,,usuario73@empresa.co,3001209732,65,,Barranquilla,alimentos,101970.29,4370612.1,6.0,Tarjeta Crédito,27-10-2024,2020-02-10,pendiente,14.0,Oriente
74,Jorge Rodríguez,usuario74@hotmail.com,3101767428,35,F,Santa Marta,ROPA,74519.71,3688828.23,0.0,TARJETA CREDITO,2021-07-11,2024/06/27,Inactivo,30.0,Sur
75,Paola Rodríguez,usuario75@outlook.com,3129586346,31,Female,Medellín,Alimentos,178326.85,5174777.49,3.0,,,11-18-2022,ACTIVO,33.0,Norte
76,María Martínez,usuario76@yahoo.com,3019035902,31,FEMENINO,barranquilla,HOGAR,156265.66,3008354.22,8.7,,24/07/2021,11-01-2023,Activo,19.0,Oriente
77,Natalia González,usuario77@empresa.co,3109600012,72,f,Cali,Electrónica,300373.48,3994225.57,,pse,04-17-2024,03-18-2024,Activo,48.0,
78,Carlos Pérez,usuario78@hotmail.com,3124755261,49,M,Cúcuta,Tecnología,,1811748.25,8.7,TARJETA CREDITO,2024/10/14,30-06-2020,Pendiente,35.0,Oriente
79,Andrés González,usuario79@yahoo.com,3119624057,72,Masculino,Cartagena,deportes,545162.34,2935592.44,8.7,Efectivo,02 Feb 2023,2023-02-14,Activo,44.0,Oriente
80,María Rodríguez,usuario80@hotmail.com,3128897282,desconocido,Male,Pereira,Tecnología,81868.23,2719959.44,,tarjeta débito,2024-01-18,04/12/2023,ACTIVO,43.0,Norte
81,Sandra González,usuario81@outlook.com,3159111044,35,Male,Bucaramanga,deportes,175967.63,3863319.52,2.6,tarjeta débito,2023-06-17,09 Aug 2022,pendiente,3.0,Norte
82,,usuario82@yahoo.com,3006892819,,,  Cartagena  ,electronica,,3841181.39,9.5,pse,,06-04-2024,Cancelado,45.0,Sur
83,Pedro Flores,usuario83@outlook.com,3119042500,26,FEMENINO,Manizales,ROPA,92924.23,3241463.48,1.7,Nequi,08-12-2024,09 Sep 2020,Inactivo,50.0,
84,Carlos Rivera,usuario84@hotmail.com,3118368771,34,Femenino,barranquilla,Electrónica,186956.22,3484144.39,5.6,Efectivo,2021/07/20,01 Feb 2022,Pendiente,2.0,Norte
85,Paola García,usuario85@empresa.co,3004162086,46,Femenino,Pereira,electronica,397175.81,3205220.93,2.0,PSE,15-05-2021,11-23-2021,ACTIVO,2.0,
86,Paola López,usuario86@hotmail.com,3154184513,45,Male,  Cartagena  ,Alimentos,42969.33,5462819.98,2.4,Tarjeta Crédito,2023/08/12,17/03/2022,Activo,20.0,Norte
87,Paola González,usuario87@hotmail.com,3207792839,25,F,BOGOTA,Deportes,87792.1,1782423.91,4.8,Efectivo,05-06-2022,2024-11-07,Inactivo,11.0,Norte
88,Juan García,usuario88@gmail.com,3203375327,desconocido,FEMENINO,Bogotá,Tecnología,331265.17,3671166.47,4.6,efectivo,04-12-2021,06/06/2023,Pendiente,42.0,
89,,,3004404045,52,m,BOGOTA,Deportes,6233.0,3852551.46,1.9,,,,activo,6.0,Occidente
90,Luis González,usuario90@yahoo.com,3005208672,,f,barranquilla,Electrónica,157048.62,3754257.39,5.8,efectivo,2023-02-05,04-05-2021,pendiente,46.0,Sur
91,Pedro Rodríguez,usuario91@outlook.com,3157193852,53,m,Cali,HOGAR,632866.79,4373920.16,5.8,PSE,11-10-2021,06-04-2020,Inactivo,39.0,Centro
92,Carlos Ramírez,usuario92@yahoo.com,3004125616,26,Female,Cartagena,Tecnología,534190.37,,9.9,Tarjeta Débito,2021-03-01,18-03-2024,Pendiente,11.0,
93,Natalia González,usuario93@gmail.com,3109105592,,Male,Cúcuta,Deportes,158127.49,5515681.71,8.5,efectivo,07-07-2022,13 Apr 2024,Inactivo,47.0,Occidente
94,,,3014304688,68,f,Medellín,alimentos,418441.74,4029345.29,1.4,Efectivo,08-03-2022,2022-10-08,pendiente,23.0,Norte
95,Laura Pérez,usuario95@gmail.com,3108733752,20,MASCULINO,Cali,alimentos,451215.46,2215117.15,6.1,pse,23 Feb 2024,01/06/2021,activo,34.0,Oriente
96,Ana Rodríguez,usuario96@empresa.co,3124693726,31,Masculino,  Cartagena  ,Ropa,720036.32,3021226.37,9.4,efectivo,04-13-2024,12/05/2021,Pendiente,47.0,
97,Jorge Torres,,3113545879,60,FEMENINO,Cartagena,Electrónica,187696.68,1434480.74,5.7,pse,,,activo,41.0,
98,Laura García,usuario98@empresa.co,3127183858,67,f,Pereira,Electrónica,200089.56,6002545.76,3.8,Efectivo,09-10-2024,,activo,38.0,Norte
99,Carlos Sánchez,usuario99@yahoo.com,3116241750,73,FEMENINO,Cúcuta,Alimentos,91749.78,2951847.82,7.6,Nequi,07 Oct 2021,,Pendiente,29.0,
100,Miguel Pérez,usuario100@outlook.com,3108946989,57,FEMENINO,Bogotá,alimentos,155333.09,4150477.05,4.6,Tarjeta Débito,2020-05-25,08/08/2021,Activo,41.0,Oriente
101,Pedro Rodríguez,usuario101@empresa.co,3115920645,33,FEMENINO,Cali,electronica,86306.15,4880927.5,4.6,TARJETA CREDITO,,2022-04-04,ACTIVO,31.0,
102,Ana Pérez,usuario102@hotmail.com,3155623643,69,,Bucaramanga,alimentos,1335415.85,4062709.58,7.7,tarjeta débito,03-10-2023,04-06-2021,pendiente,7.0,
103,,sin_email,3124815586,74,FEMENINO,Cúcuta,HOGAR,299349.53,4090361.57,7.5,Tarjeta Débito,12-13-2021,28-05-2020,Activo,29.0,Occidente
104,Laura Rodríguez,usuario104@empresa.co,3201088151,29,Male,BOGOTA,deportes,627045.67,3690648.57,6.9,TARJETA CREDITO,31-03-2022,17-01-2023,Pendiente,50.0,Sur
